Artist_and_Track_Name,US_Streams,Position
Kendrick Lamar - HUMBLE.,339677217,1
Lil Uzi Vert - XO TOUR Llif3,316206696,2
Post Malone - Congratulations,285451131,3
Ed Sheeran - Shape of You,282319891,4
Future - Mask Off,241828211,5
Post Malone - rockstar,238013267,6
Luis Fonsi - Despacito - Remix,235012075,7
KYLE - iSpy (feat. Lil Yachty),227087919,8
Khalid - Location,226224851,9
Logic - 1-800-273-8255,221788327,10
French Montana - Unforgettable,219082837,11
Migos - Bad and Boujee (feat. Lil Uzi Vert),211518962,12
Bruno Mars - That's What I Like,208416179,13
DJ Khaled - I'm the One,206524898,14
Travis Scott - goosebumps,200660671,15
Kendrick Lamar - DNA.,190134671,16
Big Sean - Bounce Back,186239735,17
Childish Gambino - Redbone,180679901,18
21 Savage - Bank Account,179650062,19
Sam Hunt - Body Like A Back Road,172818841,20
Drake - Fake Love,172764719,21
Drake - Passionfruit,168936267,22
Imagine Dragons - Believer,161185874,23
Migos - Slippery (feat. Gucci Mane),160644388,24
Kodak Black - Tunnel Vision,159675387,25
Khalid - Young Dumb & Broke,158529702,26
Kendrick Lamar - LOVE. FEAT. ZACARI.,156207684,27
Migos - T-Shirt,153808845,28
Zedd - Stay (with Alessia Cara),152614157,29
"ZAYN - I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",148007471,30
Julia Michaels - Issues,147063367,31
Calvin Harris - Slide,146806206,32
The Chainsmokers - Something Just Like This,145168696,33
The Weeknd - Starboy,143772119,34
A Boogie Wit da Hoodie - Drowning (feat. Kodak Black),142644816,35
Travis Scott - Butterfly Effect,140994767,36
James Arthur - Say You Won't Let Go,139105695,37
Cardi B - Bodak Yellow,137770156,38
The Chainsmokers - Closer,137009517,39
DJ Khaled - Wild Thoughts,133233241,40
Drake - Portland,132209360,41
Kygo - It Ain't Me (with Selena Gomez),131431123,42
Rae Sremmurd - Swang,129484067,43
Imagine Dragons - Thunder,128764439,44
Playboi Carti - Magnolia,125657212,45
Kendrick Lamar - LOYALTY. FEAT. RIHANNA.,124676086,46
Charlie Puth - Attention,124240832,47
Aminé - Caroline,124002371,48
Camila Cabello - Havana,123735162,49
