,Artist_and_Track_Name,Germany_Streams,Position
467,Ed Sheeran - Shape of You,97689020,1
554,French Montana - Unforgettable,54247500,2
105,Axwell /\ Ingrosso - More Than You Know,54124456,3
142,Bausa - Was Du Liebe nennst,51699927,4
1008,Luis Fonsi - Despacito - Remix,50855083,5
640,Imagine Dragons - Thunder,48323173,6
670,Jason Derulo - Swalla (feat. Nicki Minaj & Ty Dolla $ign),47742974,7
1560,The Chainsmokers - Something Just Like This,44886062,8
178,Bonez MC - Ohne mein Team,43381073,9
1007,Luis Fonsi - Despacito (Featuring Daddy Yankee),42735504,10
