,Artist_and_Track_Name,Norway_Streams,Position
425,Ed Sheeran - Shape of You,31152940,1
984,Luis Fonsi - Despacito - Remix,30053768,2
893,Kygo - It Ain't Me (with Selena Gomez),24157944,3
623,Hkeem - Fy Faen,20722045,4
190,Burak Yeter - Tuesday,17334548,5
672,ItaloBrothers - Summer Air,17126528,6
756,Julia Michaels - Issues,16550770,7
1248,Post Malone - rockstar,16025980,8
283,Clean Bandit - Symphony (feat. Zara Larsson),15894725,9
1063,Martin Garrix - Scared to Be Lonely,15606347,10
